origin_zone,destination_zone,trip_count,private,public,other,mixed,non_motorized,distance
407,400,142.3375,0.0,1.0,0.0,0.0,0.0,5.089166156791637
398,398,,,,,,,0.0
398,7,242.56905,0.5468392195954099,0.45316078040458996,0.0,0.0,0.0,10.103583195464745
398,48,,,,,,,11.986302403759707
398,23,35.97286,0.0,1.0,0.0,0.0,0.0,13.144013820503613
787,786,270.88551,0.0,1.0,0.0,0.0,0.0,
786,787,97.68171,0.0,1.0,0.0,0.0,0.0,
785,839,72.31979,1.0,0.0,0.0,0.0,0.0,
785,786,,,,,,,
785,789,97.21575999999999,0.0,0.0,0.0,0.0,1.0,
791,791,1320.92908,0.0,0.0,0.20924643433544515,0.0,0.7907535656645547,
791,225,107.4356,0.0,1.0,0.0,0.0,0.0,
783,786,,,,,,,
785,9,73.46943,0.0,1.0,0.0,0.0,0.0,
786,999,233.6497,0.0,1.0,0.0,0.0,0.0,
786,786,,,,,,,
786,785,,,,,,,
783,783,561.60037,0.0,0.279300973395014,0.0,0.0,0.7206990266049861,
783,785,493.79657,0.21011547326057775,0.10552456854854217,0.14650257696200683,0.0,0.5378573812288733,
792,786,58.18096,0.0,0.0,0.0,1.0,0.0,
785,785,1127.56789,0.0,0.4809762186470209,0.11413241822627637,0.0,0.40489136312670276,
786,125,,,,,,,
784,784,,,,,,,
786,789,270.9973,0.0,1.0,0.0,0.0,0.0,
789,792,17.18234,0.0,0.0,1.0,0.0,0.0,
783,789,817.2521,0.0,0.0,0.0,0.0,1.0,
785,999,812.2347,0.06023713342953706,0.07802254693132417,0.8178214991307317,0.0,0.04391882050840724,
784,16,186.7676,0.0,1.0,0.0,0.0,0.0,
784,999,146.3448,1.0,0.0,0.0,0.0,0.0,
784,786,726.4714,0.0,0.0,0.39360475856310384,0.0,0.6063952414368962,
792,788,,,,,,,
792,792,,,,,,,
783,16,114.7554,0.0,1.0,0.0,0.0,0.0,
792,770,,,,,,,
792,769,17.31677,0.0,0.0,1.0,0.0,0.0,
785,783,331.95667,0.40126110434834766,0.30411077445740137,0.0,0.0,0.2946281211942511,
785,129,28.48729,0.0,1.0,0.0,0.0,0.0,
786,494,172.8234,0.0,1.0,0.0,0.0,0.0,
